game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key,game_type
sidearm-2023-10-28-Bellarmine-Stetson-University,2023-10-28,Bellarmine,Stetson,false,false,3,2,home,final,,https://athletics.bellarmine.edu/sports/mens-soccer/stats/2023/stetson-university/boxscore/7617,https://gohatters.com/sports/mens-soccer/stats/2023/bellarmine-university/boxscore/14788,2023-10-28-Bellarmine-Stetson,regular
sidearm-2023-10-28-Central-Arkansas-North-Florida,2023-10-28,Central Arkansas,North Florida,false,false,3,0,away,final,,https://ucasports.com/sports/mens-soccer/stats/2023/north-florida/boxscore/10803,https://unfospreys.com/sports/mens-soccer/stats/2023/central-arkansas/boxscore/19431,2023-10-28-Central-Arkansas-North-Florida,regular
sidearm-2023-10-28-FGCU-Queens,2023-10-28,FGCU,Queens,false,false,2,3,away,final,,https://fgcuathletics.com/sports/mens-soccer/stats/2023/queens/boxscore/13518,,2023-10-28-FGCU-Queens,regular
sidearm-2023-10-28-Jacksonville-Lipscomb,2023-10-28,Jacksonville,Lipscomb,false,false,1,2,home,final,,https://judolphins.com/sports/mens-soccer/stats/2023/lipscomb/boxscore/6254,https://lipscombsports.com/sports/mens-soccer/stats/2023/jacksonville/boxscore/11872,2023-10-28-Jacksonville-Lipscomb,regular
sidearm-2023-10-28-Queens-Florida-Gulf-Coast-University,2023-10-28,Queens,Florida Gulf Coast University,false,false,3,2,home,final,,https://queensathletics.com/sports/mens-soccer/stats/2023/florida-gulf-coast-university/boxscore/11056,,2023-10-28-Florida-Gulf-Coast-University-Queens,regular
sidearm-2023-10-28-Davidson-College-Rhode-Island,2023-10-28,Davidson College,Rhode Island,false,false,0,2,home,final,,https://davidsonwildcats.com/sports/mens-soccer/stats/2023/rhode-island/boxscore/8978,https://gorhody.com/sports/mens-soccer/stats/2023/davidson/boxscore/10456,2023-10-28-Davidson-College-Rhode-Island,regular
sidearm-2023-10-28-Dayton-Massachusetts,2023-10-28,Dayton,Massachusetts,false,false,3,1,unknown,final,,https://daytonflyers.com/sports/mens-soccer/stats/2023/massachusetts/boxscore/16325,,2023-10-28-Dayton-Massachusetts,regular
sidearm-2023-10-28-Duquesne-La-Salle,2023-10-28,Duquesne,La Salle,false,false,2,1,away,final,,https://goduquesne.com/sports/mens-soccer/stats/2023/la-salle/boxscore/18065,https://goexplorers.com/sports/mens-soccer/stats/2023/duquesne/boxscore/11195,2023-10-28-Duquesne-La-Salle,regular
sidearm-2023-10-28-Fordham-Loyola-Chicago,2023-10-28,Fordham,Loyola Chicago,false,false,0,1,away,final,,https://fordhamsports.com/sports/mens-soccer/stats/2023/loyola-chicago/boxscore/13275,https://loyolaramblers.com/sports/mens-soccer/stats/2023/fordham/boxscore/6213,2023-10-28-Fordham-Loyola-Chicago,regular
sidearm-2023-10-28-George-Washington-George-Mason,2023-10-28,George Washington,George Mason,false,false,3,1,home,final,,https://gwsports.com/sports/mens-soccer/stats/2023/george-mason/boxscore/14154,,2023-10-28-George-Mason-George-Washington,regular
sidearm-2023-10-28-St.-Bonaventure-VCU,2023-10-28,St. Bonaventure,VCU,false,false,4,0,home,final,,https://gobonnies.com/sports/mens-soccer/stats/2023/vcu/boxscore/5981,https://vcuathletics.com/sports/mens-soccer/stats/2023/st-bonaventure/boxscore/6134,2023-10-28-St.-Bonaventure-VCU,regular
sidearm-2023-10-28-Saint-Joseph's-Saint-Louis,2023-10-28,Saint Joseph's,Saint Louis,false,false,3,3,away,final,,https://sjuhawks.com/sports/mens-soccer/stats/2023/saint-louis/boxscore/12161,https://slubillikens.com/sports/mens-soccer/stats/2023/saint-joseph-s/boxscore/17319,2023-10-28-Saint-Joseph's-Saint-Louis,regular
sidearm-2023-10-28-Butler-Akron,2023-10-28,Butler,Akron,false,false,0,0,away,final,,https://gozips.com/sports/mens-soccer/stats/2023/butler/boxscore/8969,https://butlersports.com/sports/mens-soccer/stats/2023/akron/boxscore/13090,2023-10-28-Akron-Butler,regular
sidearm-2023-10-28-St.-John's-Creighton,2023-10-28,St. John's,Creighton,false,false,2,2,away,final,,https://gocreighton.com/sports/mens-soccer/stats/2023/st-john-s/boxscore/15321,https://redstormsports.com/sports/mens-soccer/stats/2023/creighton/boxscore/14007,2023-10-28-Creighton-St.-John's,regular
sidearm-2023-10-28-DePaul-Villanova,2023-10-28,DePaul,Villanova,false,false,3,3,home,final,,https://depaulbluedemons.com/sports/mens-soccer/stats/2023/villanova/boxscore/5836,https://villanova.com/sports/mens-soccer/stats/2023/depaul-university/boxscore/15583,2023-10-28-DePaul-Villanova,regular
sidearm-2023-10-28-Georgetown-Marquette,2023-10-28,Georgetown,Marquette,true,false,2,1,home,final,,https://guhoyas.com/sports/mens-soccer/stats/2023/marquette/boxscore/19982,https://gomarquette.com/sports/mens-soccer/stats/2023/georgetown/boxscore/10226,2023-10-28-Georgetown-Marquette,regular
sidearm-2023-10-28-Seton-Hall-University-Providence,2023-10-28,Seton Hall,Providence,false,false,1,0,away,final,,https://friars.com/sports/mens-soccer/stats/2023/seton-hall-university/boxscore/11306,https://shupirates.com/sports/mens-soccer/stats/2023/providence/boxscore/10118,2023-10-28-Providence-Seton-Hall,regular
sidearm-2023-10-28-UConn-Xavier,2023-10-28,UConn,Xavier,false,false,0,4,home,final,,https://uconnhuskies.com/sports/mens-soccer/stats/2023/xavier/boxscore/23655,https://goxavier.com/sports/mens-soccer/stats/2023/uconn/boxscore/12076,2023-10-28-UConn-Xavier,regular
sidearm-2023-10-28-Radford-Gardner-Webb,2023-10-28,Radford,Gardner-Webb,false,false,0,3,away,final,,https://gwusports.com/sports/mens-soccer/stats/2023/radford/boxscore/7708,https://radfordathletics.com/sports/mens-soccer/stats/2023/gardner-webb/boxscore/13469,2023-10-28-Gardner-Webb-Radford,regular
sidearm-2023-10-28-Longwood-Presbyterian,2023-10-28,Longwood,Presbyterian,false,false,3,2,away,final,,https://longwoodlancers.com/sports/mens-soccer/stats/2023/presbyterian/boxscore/8596,https://gobluehose.com/sports/mens-soccer/stats/2023/longwood/boxscore/12969,2023-10-28-Longwood-Presbyterian,regular
sidearm-2023-10-28-Winthrop--UNC-Asheville,2023-10-28,Winthrop,UNC Asheville,false,false,1,3,away,final,,https://uncabulldogs.com/sports/mens-soccer/stats/2023/winthrop/boxscore/9631,https://winthropeagles.com/sports/mens-soccer/stats/2023/unc-asheville/boxscore/22750,2023-10-28-UNC-Asheville-Winthrop,regular
sidearm-2023-10-28-Cal-State-Fullerton-UC-Santa-Barbara,2023-10-28,Cal State Fullerton,UC Santa Barbara,false,false,2,0,home,final,,https://fullertontitans.com/sports/mens-soccer/stats/2023/uc-santa-barbara/boxscore/6225,https://ucsbgauchos.com/sports/mens-soccer/stats/2023/cal-state-fullerton/boxscore/9644,2023-10-28-Cal-State-Fullerton-UC-Santa-Barbara,regular
sidearm-2023-10-28-Sacramento-State-UC-Davis,2023-10-28,Sacramento State,UC Davis,false,false,1,0,home,final,,https://hornetsports.com/sports/mens-soccer/stats/2023/uc-davis/boxscore/10808,https://ucdavisaggies.com/sports/mens-soccer/stats/2023/sacramento-state/boxscore/25899,2023-10-28-Sacramento-State-UC-Davis,regular
sidearm-2023-10-28-UC-Irvine-UC-San-Diego,2023-10-28,UC Irvine,UC San Diego,false,false,3,1,home,final,,https://ucirvinesports.com/sports/mens-soccer/stats/2023/uc-san-diego/boxscore/12166,https://ucsdtritons.com/sports/mens-soccer/stats/2023/uc-irvine/boxscore/9537,2023-10-28-UC-Irvine-UC-San-Diego,regular
sidearm-2023-10-28-Campbell-Monmouth,2023-10-28,Campbell,Monmouth,false,false,0,1,unknown,final,,https://gocamels.com/sports/mens-soccer/stats/2023/monmouth/boxscore/206985,https://monmouthhawks.com/sports/mens-soccer/stats/2023/campbell/boxscore/26341,2023-10-28-Campbell-Monmouth,regular
sidearm-2023-10-28-Delaware-Charleston,2023-10-28,Delaware,Charleston,false,false,2,1,away,final,,https://cofcsports.com/sports/mens-soccer/stats/2023/delaware/boxscore/11441,https://bluehens.com/sports/mens-soccer/stats/2023/charleston/boxscore/33286,2023-10-28-Charleston-Delaware,regular
sidearm-2023-10-28-Hofstra-Northeastern,2023-10-28,Hofstra,Northeastern,false,false,2,1,home,final,,https://gohofstra.com/sports/mens-soccer/stats/2023/northeastern/boxscore/12654,https://nuhuskies.com/sports/mens-soccer/stats/2023/hofstra/boxscore/12551,2023-10-28-Hofstra-Northeastern,regular
sidearm-2023-10-28-UNC-Wilmington-Elon,2023-10-28,UNC Wilmington,Elon,false,false,0,1,home,final,,https://uncwsports.com/sports/mens-soccer/stats/2023/elon/boxscore/10110,,2023-10-28-Elon-UNC-Wilmington,regular
sidearm-2023-10-28-Cleveland-State-Wright-State,2023-10-28,Cleveland State,Wright State,false,false,1,1,away,final,,https://csuvikings.com/sports/mens-soccer/stats/2023/wright-state/boxscore/19093,https://wsuraiders.com/sports/mens-soccer/stats/2023/cleveland-state/boxscore/9542,2023-10-28-Cleveland-State-Wright-State,regular
sidearm-2023-10-28-Detroit-Mercy-Robert-Morris,2023-10-28,Detroit Mercy,Robert Morris,false,false,3,1,home,final,,https://detroittitans.com/sports/mens-soccer/stats/2023/robert-morris/boxscore/5811,https://rmucolonials.com/sports/mens-soccer/stats/2023/detroit-mercy/boxscore/9637,2023-10-28-Detroit-Mercy-Robert-Morris,regular
sidearm-2023-10-28-IU-Indy-Milwaukee,2023-10-28,IU Indy,Milwaukee,false,false,1,1,home,final,,https://iuindyjags.com/sports/mens-soccer/stats/2023/milwaukee/boxscore/15984,,2023-10-28-IU-Indy-Milwaukee,regular
sidearm-2023-10-28-Milwaukee-IUPUI,2023-10-28,Milwaukee,IUPUI,false,false,1,1,unknown,final,,https://mkepanthers.com/sports/mens-soccer/stats/2023/iupui/boxscore/17369,,2023-10-28-IUPUI-Milwaukee,regular
sidearm-2023-10-28-Northern-Kentucky-Purdue-Fort-Wayne,2023-10-28,Northern Kentucky,Purdue Fort Wayne,false,false,2,0,home,final,,https://nkunorse.com/sports/mens-soccer/stats/2023/purdue-fort-wayne/boxscore/6594,https://gomastodons.com/sports/mens-soccer/stats/2023/northern-kentucky/boxscore/14413,2023-10-28-Northern-Kentucky-Purdue-Fort-Wayne,regular
sidearm-2023-10-28-Oakland-Green-Bay,2023-10-28,Oakland,Green Bay,false,false,1,3,home,final,,https://goldengrizzlies.com/sports/mens-soccer/stats/2023/green-bay/boxscore/10151,,2023-10-28-Green-Bay-Oakland,regular
sidearm-2023-10-28-Brown-Dartmouth,2023-10-28,Brown,Dartmouth College,false,false,1,0,home,final,,https://brownbears.com/sports/mens-soccer/stats/2023/dartmouth/boxscore/14095,https://dartmouthsports.com/sports/mens-soccer/stats/2023/brown/boxscore/29253,2023-10-28-Brown-Dartmouth-College,regular
sidearm-2023-10-28-Columbia-University-Penn,2023-10-28,Columbia University,Penn,false,false,0,1,home,final,,https://gocolumbialions.com/sports/mens-soccer/stats/2023/penn/boxscore/13315,https://pennathletics.com/sports/mens-soccer/stats/2023/columbia/boxscore/27787,2023-10-28-Columbia-University-Penn,regular
sidearm-2023-10-28-Cornell-Yale-University,2023-10-28,Cornell,Yale,false,false,0,2,away,final,,https://cornellbigred.com/sports/mens-soccer/stats/2023/yale-university/boxscore/57022,https://yalebulldogs.com/sports/mens-soccer/stats/2023/cornell/boxscore/17581,2023-10-28-Cornell-Yale,regular
sidearm-2023-10-28-Harvard-Princeton-University,2023-10-28,Harvard,Princeton,false,false,2,1,away,final,,https://gocrimson.com/sports/mens-soccer/stats/2023/princeton-university/boxscore/30148,https://goprincetontigers.com/sports/mens-soccer/stats/2023/harvard/boxscore/18899,2023-10-28-Harvard-Princeton,regular
sidearm-2023-10-28-Canisius-Saint-Peter's,2023-10-28,Canisius,Saint Peter's,false,false,3,0,home,final,,https://gogriffs.com/sports/mens-soccer/stats/2023/saint-peter-s/boxscore/8718,https://saintpeterspeacocks.com/sports/mens-soccer/stats/2023/canisius-university/boxscore/9229,2023-10-28-Canisius-Saint-Peter's,regular
sidearm-2023-10-28-Iona-Mount-St.-Mary's,2023-10-28,Iona,Mount St. Mary's,false,false,2,1,away,final,,https://ionagaels.com/sports/mens-soccer/stats/2023/mount-st-mary-s/boxscore/15299,https://mountathletics.com/sports/mens-soccer/stats/2023/iona/boxscore/7854,2023-10-28-Iona-Mount-St.-Mary's,regular
sidearm-2023-10-28-Manhattan-Siena,2023-10-28,Manhattan,Siena,false,false,2,3,away,final,,https://gojaspers.com/sports/mens-soccer/stats/2023/siena/boxscore/10568,https://sienasaints.com/boxscore.aspx?id=18807,2023-10-28-Manhattan-Siena,regular
sidearm-2023-10-28-Marist-Rider,2023-10-28,Marist,Rider University,false,false,1,2,home,final,,https://goredfoxes.com/sports/mens-soccer/stats/2023/rider/boxscore/13890,https://gobroncs.com/sports/mens-soccer/stats/2023/marist/boxscore/11812,2023-10-28-Marist-Rider-University,regular
sidearm-2023-10-28-Quinnipiac-Niagara,2023-10-28,Quinnipiac,Niagara,false,false,3,1,home,final,,https://gobobcats.com/sports/mens-soccer/stats/2023/niagara/boxscore/20979,,2023-10-28-Niagara-Quinnipiac,regular
sidearm-2023-10-28-Mercyhurst-Slippery-Rock-University,2023-10-28,Mercyhurst,Slippery Rock University,false,false,2,0,unknown,final,,https://hurstathletics.com/sports/mens-soccer/stats/2023/slippery-rock-university/boxscore/13272,,2023-10-28-Mercyhurst-Slippery-Rock-University,regular
sidearm-2023-10-28-New-Haven-Saint-Michael's,2023-10-28,New Haven,Saint Michael's,false,false,0,1,unknown,final,,https://newhavenchargers.com/sports/mens-soccer/stats/2023/saint-michael-s/boxscore/13002,,2023-10-28-New-Haven-Saint-Michael's,regular
sidearm-2023-10-28-Western-Illinois-Omaha,2023-10-28,Western Illinois,Omaha,false,false,1,2,unknown,final,,https://goleathernecks.com/sports/mens-soccer/stats/2023/omaha/boxscore/13490,https://omavs.com/sports/mens-soccer/stats/2023/western-illinois/boxscore/18266,2023-10-28-Omaha-Western-Illinois,regular
sidearm-2023-10-28-CSU-Bakersfield-Cal-Poly,2023-10-28,CSU Bakersfield,Cal Poly,false,false,1,1,away,final,,https://gopoly.com/sports/mens-soccer/stats/2023/csu-bakersfield/boxscore/7366,,2023-10-28-CSU-Bakersfield-Cal-Poly,regular
sidearm-2023-10-28-UC-Riverside-CSUN,2023-10-28,UC Riverside,CSUN,false,false,0,0,home,final,,https://gohighlanders.com/sports/mens-soccer/stats/2023/csun/boxscore/13977,,2023-10-28-CSUN-UC-Riverside,regular
sidearm-2023-10-28-American-Army,2023-10-28,American,Army,false,false,3,0,away,final,,https://aueagles.com/sports/mens-soccer/stats/2023/army/boxscore/5123,https://goarmywestpoint.com/sports/mens-soccer/stats/2023/american-university/boxscore/14387,2023-10-28-American-Army,regular
sidearm-2023-10-28-Boston-University-Loyola-Maryland,2023-10-28,Boston University,Loyola Maryland,false,false,3,1,home,final,,https://goterriers.com/sports/mens-soccer/stats/2023/loyola-maryland/boxscore/31156,,2023-10-28-Boston-University-Loyola-Maryland,regular
sidearm-2023-10-28-Lafayette--Bucknell,2023-10-28,Lafayette,Bucknell,false,false,0,0,away,final,,https://bucknellbison.com/sports/mens-soccer/stats/2023/lafayette/boxscore/18813,https://goleopards.com/sports/mens-soccer/stats/2023/bucknell/boxscore/12480,2023-10-28-Bucknell-Lafayette,regular
sidearm-2023-10-28-Lehigh-Holy-Cross,2023-10-28,Lehigh,Holy Cross,false,false,2,1,home,final,,https://lehighsports.com/sports/mens-soccer/stats/2023/holy-cross/boxscore/14164,,2023-10-28-Holy-Cross-Lehigh,regular
sidearm-2023-10-28-Loyola-University-Maryland-Boston-University,2023-10-28,Loyola University Maryland,Boston University,false,false,1,3,home,final,,https://loyolagreyhounds.com/sports/mens-soccer/stats/2023/boston-university/boxscore/15925,,2023-10-28-Boston-University-Loyola-University-Maryland,regular
sidearm-2023-10-28-Navy-Colgate,2023-10-28,Navy,Colgate,false,false,1,0,home,final,,https://navysports.com/sports/mens-soccer/stats/2023/colgate/boxscore/23457,,2023-10-28-Colgate-Navy,regular
sidearm-2023-10-28-ETSU-Mercer,2023-10-28,ETSU,Mercer,false,false,2,1,away,final,,https://etsubucs.com/sports/mens-soccer/stats/2023/mercer/boxscore/11231,,2023-10-28-ETSU-Mercer,regular
sidearm-2023-10-28-Furman-Wofford,2023-10-28,Furman,Wofford,false,false,0,1,unknown,final,,https://furmanpaladins.com/sports/mens-soccer/stats/2023/wofford/boxscore/8337,https://athletics.wofford.edu/sports/mens-soccer/stats/2023/furman/boxscore/9501,2023-10-28-Furman-Wofford,regular
sidearm-2023-10-28-East-Tennessee-State-Mercer,2023-10-28,East Tennessee State,Mercer,false,false,2,1,away,final,,https://mercerbears.com/sports/mens-soccer/stats/2023/east-tennessee-state/boxscore/10411,,2023-10-28-East-Tennessee-State-Mercer,regular
