game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Duke-FDU,2025-01-01,Duke,FDU,,,1,0,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/fdu/boxscore/24699,2025-01-01-Duke-FDU
sidearm-2025-01-01-Duke-Princeton,2025-01-01,Duke,Princeton,,,2,1,unknown,final,,https://goduke.com/sports/mens-soccer/stats/2025/princeton/boxscore/24756,2025-01-01-Duke-Princeton
sidearm-2025-01-01-Duke-Akron,2025-01-01,Duke,Akron,,,0,2,unknown,final,,,2025-01-01-Akron-Duke
sidearm-2025-01-01-Louisville-Lindsey-Wilson-College-(Ky.)-(EXH),2025-01-01,Louisville,Lindsey Wilson College (Ky.) (EXH),,,,,unknown,scheduled,,,2025-01-01-Lindsey-Wilson-College-(Ky.)-(EXH)-Louisville
sidearm-2025-01-01-Louisville-Indiana-University-(EXH),2025-01-01,Louisville,Indiana University (EXH),,,,,unknown,scheduled,,https://gocards.com/sports/mens-soccer/stats/2025/uab/boxscore/25677,2025-01-01-Indiana-University-(EXH)-Louisville
sidearm-2025-01-01-Louisville-University-of-Southern-Indiana,2025-01-01,Louisville,University of Southern Indiana,,,6,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-southern-indiana/boxscore/25676,2025-01-01-Louisville-University-of-Southern-Indiana
sidearm-2025-01-01-Louisville-UAB,2025-01-01,Louisville,UAB,,,1,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/uab/boxscore/25677,2025-01-01-Louisville-UAB
sidearm-2025-01-01-Louisville-IU-Indy,2025-01-01,Louisville,IU Indy,,,4,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/iu-indy/boxscore/25678,2025-01-01-IU-Indy-Louisville
sidearm-2025-01-01-Louisville-Stanford-University,2025-01-01,Louisville,Stanford University,,,1,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/stanford-university/boxscore/25679,2025-01-01-Louisville-Stanford-University
sidearm-2025-01-01-Louisville-Ohio-State-University,2025-01-01,Louisville,Ohio State University,,,1,0,unknown,final,,https://gocards.com/sports/mens-soccer/stats/2025/ohio-state-university/boxscore/25680,2025-01-01-Louisville-Ohio-State-University
