game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,boxscore_url_alt,dedupe_key
wmt-2025-08-13-Notre-Dame-Saint-Louis,2025-08-13,Notre Dame,Saint Louis,false,false,,,home,scheduled,https://fightingirish.com/sports/msoc/schedule,,,2025-08-13-Notre-Dame-Saint-Louis
sidearm-2025-08-13-Akron-West-Virginia-Tech-(EX),2025-08-13,Akron,West Virginia Tech (EX),false,false,,,home,scheduled,,,,2025-08-13-Akron-West-Virginia-Tech-(EX)
wmt-2025-08-14-North-Florida-UCF,2025-08-14,UCF,North Florida,false,false,,,home,final,https://ucfknights.com/sports/mens-soccer/schedule,,,2025-08-14-North-Florida-UCF
sidearm-2025-08-15-Wake-Forest-Tulsa-(Exhibition),2025-08-15,Wake Forest,Tulsa,false,false,,,home,scheduled,,,,2025-08-15-Tulsa-Wake-Forest
sidearm-2025-08-15-Akron-Detroit-Mercy-(EX),2025-08-15,Akron,Detroit Mercy (EX),false,false,,,home,scheduled,,,,2025-08-15-Akron-Detroit-Mercy-(EX)
sidearm-2025-08-15-Western-Michigan-(EXH)-Xavier,2025-08-15,Western Michigan (EXH),Xavier,false,false,,,away,scheduled,,,,2025-08-15-Western-Michigan-(EXH)-Xavier
sidearm-2025-08-15-UIC-(Exhibition)-Michigan-State,2025-08-15,UIC,Michigan State,false,false,1,2,away,final,,,,2025-08-15-Michigan-State-UIC
wmt-2025-08-15-Northern-Illinois-Northwestern,2025-08-15,Northwestern,Northern Illinois,false,false,,,home,final,https://nusports.com/sports/mens-soccer/schedule,,,2025-08-15-Northern-Illinois-Northwestern
sidearm-2025-08-15-Ohio-State-Wright-State-University,2025-08-15,Ohio State,Wright State University,false,false,,,home,scheduled,,,,2025-08-15-Ohio-State-Wright-State-University
wmt-2025-08-15-Loyola-Penn-State,2025-08-15,Penn State,Loyola,false,false,,,home,final,https://gopsusports.com/sports/mens-soccer/schedule,,,2025-08-15-Loyola-Penn-State
wmt-2025-08-15-CSUN-UCLA,2025-08-15,UCLA,CSUN,false,false,,,home,scheduled,https://uclabruins.com/sports/mens-soccer/schedule,,,2025-08-15-CSUN-UCLA
sidearm-2025-08-15-Georgia-Southern-Life-University-(Exh.),2025-08-15,Georgia Southern,Life University (Exh.),false,false,,,home,scheduled,,,,2025-08-15-Georgia-Southern-Life-University-(Exh.)
sidearm-2025-08-15-Maryland-(Exh.)-Marshall,2025-08-15,Maryland (Exh.),Marshall,false,false,,,away,scheduled,,,,2025-08-15-Marshall-Maryland-(Exh.)
sidearm-2025-08-15-Portland-Washington-(Exh.),2025-08-15,Portland,Washington (Exh.),false,false,,,unknown,scheduled,,https://portlandpilots.com/sports/mens-soccer/stats/2025/central-arkansas/boxscore/12856,,2025-08-15-Portland-Washington-(Exh.)
sidearm-2025-08-15-San-Diego-UNLV-(Exh.),2025-08-15,San Diego,UNLV (Exh.),false,false,,,unknown,scheduled,,,,2025-08-15-San-Diego-UNLV-(Exh.)
wmt-2025-08-15-Oregon-State-Seattle-U,2025-08-15,Oregon State,Seattle U,false,false,,,away,final,https://goseattleu.com/sports/mens-soccer/schedule,,,2025-08-15-Oregon-State-Seattle-U
sidearm-2025-08-16-UConn-Boston-College,2025-08-16,UConn,Boston College,false,false,,,away,scheduled,,,,2025-08-16-Boston-College-UConn
sidearm-2025-08-16-California-UC-Davis,2025-08-16,California,UC Davis,false,false,,,away,scheduled,,,,2025-08-16-California-UC-Davis
wmt-2025-08-16-Clemson-Georgia-State,2025-08-16,Georgia State,Clemson,false,false,,,away,scheduled,https://clemsontigers.com/sports/mens-soccer/schedule,,,2025-08-16-Clemson-Georgia-State
sidearm-2025-08-16-Duke-James-Madison,2025-08-16,Duke,James Madison,false,false,3,0,home,final,,,,2025-08-16-Duke-James-Madison
sidearm-2025-08-16-Indiana-University-(EXH)-Louisville,2025-08-16,Indiana University (EXH),Louisville,false,false,,,away,scheduled,,,,2025-08-16-Indiana-University-(EXH)-Louisville
wmt-2025-08-16-Cal-Poly-Stanford,2025-08-16,Stanford,Cal Poly,false,false,1,0,home,final,https://gostanford.com/sports/mens-soccer/schedule,,,2025-08-16-Cal-Poly-Stanford
sidearm-2025-08-16-Syracuse-St.-John's-,2025-08-16,Syracuse,St. John's,false,false,0,0,home,final,,,,2025-08-16-St.-John's-Syracuse
sidearm-2025-08-16-Butler-Marian-(Ind.),2025-08-16,Butler,Marian (Ind.),false,false,,,home,scheduled,,,,2025-08-16-Butler-Marian-(Ind.)
sidearm-2025-08-16-Saint-Louis-DePaul,2025-08-16,Saint Louis,DePaul,false,false,,,away,scheduled,,,,2025-08-16-DePaul-Saint-Louis
sidearm-2025-08-16-Michigan-St.-Bonaventure-(Ex.),2025-08-16,Michigan,St. Bonaventure (Ex.),false,false,,,home,scheduled,,,,2025-08-16-Michigan-St.-Bonaventure-(Ex.)
sidearm-2025-08-16-Wisconsin-Drake-(Exhibition),2025-08-16,Wisconsin,Drake,false,false,,,home,scheduled,,,,2025-08-16-Drake-Wisconsin
sidearm-2025-08-16-Georgia-State-Clemson-(Exhib.),2025-08-16,Georgia State,Clemson (Exhib.),false,false,,,unknown,scheduled,,,,2025-08-16-Clemson-(Exhib.)-Georgia-State
wmtwp-2025-08-16-Kentucky-Northern-Kentucky,2025-08-16,Northern Kentucky,Kentucky,false,false,,,away,scheduled,https://ukathletics.com/sports/msoc/schedule/2025,,,2025-08-16-Kentucky-Northern-Kentucky
wmt-2025-08-16-Longwood-Old-Dominion,2025-08-16,Old Dominion,Longwood,false,false,,,home,scheduled,https://odusports.com/sports/mens-soccer/schedule,,,2025-08-16-Longwood-Old-Dominion
wmtwp-2025-08-16-South-Carolina-Wofford,2025-08-16,South Carolina,Wofford,false,false,,,home,scheduled,https://gamecocksonline.com/sports/msoc/schedule/2025,,,2025-08-16-South-Carolina-Wofford
sidearm-2025-08-16-West-Virginia-Robert-Morris-(Exh.),2025-08-16,West Virginia,Robert Morris (Exh.),false,false,,,home,scheduled,,,,2025-08-16-Robert-Morris-(Exh.)-West-Virginia
sidearm-2025-08-16-LMU-UC-San-Diego,2025-08-16,LMU,UC San Diego,false,false,,,unknown,scheduled,,https://lmulions.com/sports/mens-soccer/stats/2025/unlv/boxscore/17237,,2025-08-16-LMU-UC-San-Diego
sidearm-2025-08-16-Saint-Mary's-Cal-State-East-Bay,2025-08-16,Saint Mary's,Cal State East Bay,false,false,,,home,scheduled,,,,2025-08-16-Cal-State-East-Bay-Saint-Mary's
sidearm-2025-08-16-San-Francisco-San-José-State-(Exh.),2025-08-16,San Francisco,San José State (Exh.),false,false,,,home,scheduled,,,,2025-08-16-San-Francisco-San-José-State-(Exh.)
sidearm-2025-08-17-Santa-Clara-UC-Santa-Cruz,2025-08-17,Santa Clara,UC Santa Cruz,false,false,,,unknown,scheduled,,https://santaclarabroncos.com/sports/mens-soccer/stats/2025/cleveland-state/boxscore/9732,,2025-08-17-Santa-Clara-UC-Santa-Cruz
sidearm-2025-08-21-Boston-College-Binghamton,2025-08-21,Boston College,Binghamton,false,false,1,0,home,final,,https://bceagles.com/sports/mens-soccer/stats/2025/binghamton/boxscore/26162,,2025-08-21-Binghamton-Boston-College
sidearm-2025-08-21-California-Saint-Mary's,2025-08-21,California,Saint Mary's,false,false,3,2,away,final,,https://calbears.com/sports/mens-soccer/stats/2025/saint-mary-s/boxscore/37894,https://smcgaels.com/sports/mens-soccer/stats/2025/cal/boxscore/12267,2025-08-21-California-Saint-Mary's
wmt-2025-08-21-Clemson-Indiana,2025-08-21,Indiana,Clemson,false,true,2,2,away,final,https://clemsontigers.com/sports/mens-soccer/schedule,https://clemsontigers.com/boxscore/316,https://iuhoosiers.com/sports/mens-soccer/stats/2025/clemson/boxscore/27828,2025-08-21-Clemson-Indiana
sidearm-2025-08-21-Duke-#10-San-Diego,2025-08-21,Duke,San Diego,true,true,2,1,home,final,,https://goduke.com/sports/mens-soccer/stats/2025/san-diego/boxscore/24391,https://usdtoreros.com/sports/mens-soccer/stats/2025/-15-duke/boxscore/15026,2025-08-21-Duke-San-Diego
sidearm-2025-08-21-Louisville-University-of-Southern-Indiana,2025-08-21,Louisville,University of Southern Indiana,false,false,6,0,home,final,,https://gocards.com/sports/mens-soccer/stats/2025/university-of-southern-indiana/boxscore/25676,,2025-08-21-Louisville-University-of-Southern-Indiana
sidearm-2025-08-21-NC-State-Queens,2025-08-21,NC State,Queens,false,false,2,0,home,final,,https://gopack.com/sports/mens-soccer/stats/2025/queens/boxscore/23990,,2025-08-21-NC-State-Queens
wmt-2025-08-21-Michigan-Notre-Dame,2025-08-21,Michigan,Notre Dame,false,false,1,1,away,final,https://fightingirish.com/sports/msoc/schedule,https://fightingirish.com/boxscore/1040,https://mgoblue.com/sports/mens-soccer/stats/2025/notre-dame/boxscore/29274,2025-08-21-Michigan-Notre-Dame
sidearm-2025-08-21-Pittsburgh-Quinnipiac,2025-08-21,Pittsburgh,Quinnipiac,false,false,1,0,home,final,,https://pittsburghpanthers.com/sports/mens-soccer/stats/2025/quinnipiac/boxscore/14847,,2025-08-21-Pittsburgh-Quinnipiac
sidearm-2025-08-21-SMU-UMKC,2025-08-21,SMU,UMKC,false,false,2,2,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/umkc/boxscore/14065,,2025-08-21-SMU-UMKC
wmt-2025-08-21-Sacramento-State-Stanford,2025-08-21,Stanford,Sacramento State,false,false,5,1,home,final,https://gostanford.com/sports/mens-soccer/schedule,https://gostanford.com/boxscore/25671,,2025-08-21-Sacramento-State-Stanford
sidearm-2025-08-21-Syracuse-UConn,2025-08-21,Syracuse,UConn,false,false,0,1,home,final,,https://cuse.com/sports/mens-soccer/stats/2025/uconn/boxscore/18456,https://uconnhuskies.com/sports/mens-soccer/stats/2025/syracuse/boxscore/24933,2025-08-21-Syracuse-UConn
sidearm-2025-08-21-North-Carolina-UCF,2025-08-21,North Carolina,UCF,false,false,3,1,home,final,https://ucfknights.com/sports/mens-soccer/schedule,https://goheels.com/sports/mens-soccer/stats/2025/ucf/boxscore/26235,https://ucfknights.com/boxscore/11311,2025-08-21-North-Carolina-UCF
wmt-2025-08-21-San-Diego-State-Virginia,2025-08-21,Virginia,San Diego State,true,false,2,0,home,final,https://virginiasports.com/sports/msoc/schedule,https://virginiasports.com/boxscore/334,,2025-08-21-San-Diego-State-Virginia
wmt-2025-08-21-Ohio-State-Virginia-Tech,2025-08-21,Virginia Tech,Ohio State,false,true,1,0,home,final,https://hokiesports.com/sports/mens-soccer/schedule,https://hokiesports.com/boxscore/22145,https://ohiostatebuckeyes.com/sports/mens-soccer/stats/2025/virginia-tech/boxscore/21322,2025-08-21-Ohio-State-Virginia-Tech
sidearm-2025-08-21-Wake-Forest-Maryland,2025-08-21,Wake Forest,Maryland,true,false,,,home,scheduled,,,,2025-08-21-Maryland-Wake-Forest
sidearm-2025-08-21-Georgetown-High-Point,2025-08-21,Georgetown,High Point,false,false,1,2,home,final,,https://guhoyas.com/sports/mens-soccer/stats/2025/high-point/boxscore/21327,,2025-08-21-Georgetown-High-Point
sidearm-2025-08-21-Rutgers-Providence,2025-08-21,Rutgers,Providence,false,false,1,0,away,final,,https://friars.com/sports/mens-soccer/stats/2025/rutgers/boxscore/12125,https://scarletknights.com/sports/mens-soccer/stats/2025/providence/boxscore/15679,2025-08-21-Providence-Rutgers
sidearm-2025-08-21-Seton-Hall-Lafayette,2025-08-21,Seton Hall,Lafayette,false,false,2,0,home,final,,https://shupirates.com/sports/mens-soccer/stats/2025/lafayette/boxscore/10848,,2025-08-21-Lafayette-Seton-Hall
sidearm-2025-08-21-Temple--St.-John's,2025-08-21,Temple,St. John's,false,false,0,1,away,final,,https://redstormsports.com/sports/mens-soccer/stats/2025/temple/boxscore/14876,,2025-08-21-St.-John's-Temple
sidearm-2025-08-21-VCU-Akron,2025-08-21,VCU,Akron,false,false,0,3,away,final,,https://gozips.com/sports/mens-soccer/stats/2025/vcu/boxscore/10925,,2025-08-21-Akron-VCU
sidearm-2025-08-21-Butler-Western-Illinois,2025-08-21,Butler,Western Illinois,false,false,0,1,unknown,final,,https://butlersports.com/sports/mens-soccer/stats/2025/western-illinois/boxscore/15099,,2025-08-21-Butler-Western-Illinois
sidearm-2025-08-21-Florida-Atlantic-Creighton,2025-08-21,Florida Atlantic,Creighton,false,false,3,0,away,final,,https://gocreighton.com/sports/mens-soccer/stats/2025/florida-atlantic/boxscore/16264,,2025-08-21-Creighton-Florida-Atlantic
sidearm-2025-08-21-DePaul-Purdue-Fort-Wayne,2025-08-21,DePaul,Purdue Fort Wayne,false,false,3,3,home,final,,https://depaulbluedemons.com/sports/mens-soccer/stats/2025/purdue-fort-wayne/boxscore/6539,,2025-08-21-DePaul-Purdue-Fort-Wayne
sidearm-2025-08-21-Marquette-Bradley-,2025-08-21,Marquette,Bradley,false,false,0,0,home,final,,https://gomarquette.com/sports/mens-soccer/stats/2025/bradley/boxscore/10937,,2025-08-21-Bradley-Marquette
sidearm-2025-08-21-Xavier-Saint-Francis,2025-08-21,Xavier,Saint Francis,false,false,3,0,home,final,,https://goxavier.com/sports/mens-soccer/stats/2025/saint-francis/boxscore/12894,,2025-08-21-Saint-Francis-Xavier
sidearm-2025-08-21-Michigan-State-UC-Riverside,2025-08-21,Michigan State,UC Riverside,false,false,2,0,home,final,,https://msuspartans.com/sports/mens-soccer/stats/2025/uc-riverside/boxscore/19863,,2025-08-21-Michigan-State-UC-Riverside
wmt-2025-08-21-Eastern-Illinois-Northwestern,2025-08-21,Northwestern,Eastern Illinois,false,false,2,0,home,final,https://nusports.com/sports/mens-soccer/schedule,https://nusports.com/boxscore/4991,,2025-08-21-Eastern-Illinois-Northwestern
wmt-2025-08-21-Penn-State-Stetson,2025-08-21,Penn State,Stetson,false,false,2,0,home,final,https://gopsusports.com/sports/mens-soccer/schedule,https://gopsusports.com/boxscore/17892,,2025-08-21-Penn-State-Stetson
wmt-2025-08-21-UC-Irvine-UCLA,2025-08-21,UC Irvine,UCLA,false,false,2,0,away,final,https://uclabruins.com/sports/mens-soccer/schedule,https://uclabruins.com/boxscore/4981,,2025-08-21-UC-Irvine-UCLA
sidearm-2025-08-21-#4-Denver-Washington,2025-08-21,Denver,Washington,true,false,2,0,away,final,,https://gohuskies.com/sports/mens-soccer/stats/2025/denver/boxscore/24623,,2025-08-21-Denver-Washington
sidearm-2025-08-21-Wisconsin-North-Florida,2025-08-21,Wisconsin,North Florida,false,false,0,1,home,final,,https://uwbadgers.com/sports/mens-soccer/stats/2025/north-florida/boxscore/16387,,2025-08-21-North-Florida-Wisconsin
sidearm-2025-08-21-Winthrop-Coastal-Carolina,2025-08-21,Winthrop,Coastal Carolina,false,false,0,3,away,final,,https://goccusports.com/sports/mens-soccer/stats/2025/winthrop/boxscore/23424,,2025-08-21-Coastal-Carolina-Winthrop
sidearm-2025-08-21-Charlotte-Georgia-Southern,2025-08-21,Charlotte,Georgia Southern,false,false,0,2,away,final,,https://gseagles.com/sports/mens-soccer/stats/2025/charlotte/boxscore/16979,,2025-08-21-Charlotte-Georgia-Southern
sidearm-2025-08-21-Georgia-State-USC---Upstate,2025-08-21,Georgia State,USC - Upstate,false,false,2,2,unknown,final,,https://georgiastatesports.com/sports/mens-soccer/stats/2025/usc-upstate/boxscore/9968,,2025-08-21-Georgia-State-USC---Upstate
sidearm-2025-08-21-James-Madison-Fordham,2025-08-21,James Madison,Fordham,false,false,0,1,home,final,,https://jmusports.com/sports/mens-soccer/stats/2025/fordham/boxscore/20487,,2025-08-21-Fordham-James-Madison
wmtwp-2025-08-21-Kentucky-Western-Michigan,2025-08-21,Western Michigan,Kentucky,true,false,1,2,away,final,https://ukathletics.com/sports/msoc/schedule/2025,https://storage.googleapis.com/ukathletics-com/2025/08/ee7337dc-uk-msoc-box-score-western-michigan.pdf,,2025-08-21-Kentucky-Western-Michigan
wmt-2025-08-21-George-Washington-Old-Dominion,2025-08-21,Old Dominion,George Washington,false,false,2,0,home,final,https://odusports.com/sports/mens-soccer/schedule,https://odusports.com/boxscore/14281,,2025-08-21-George-Washington-Old-Dominion
wmtwp-2025-08-21-Charleston-South-Carolina,2025-08-21,Charleston,South Carolina,false,false,2,3,away,final,https://gamecocksonline.com/sports/msoc/schedule/2025,https://gamecocksonline.com/boxscore/charleston-8-21-2025/,,2025-08-21-Charleston-South-Carolina
sidearm-2025-08-21-West-Virginia-Manhattan,2025-08-21,West Virginia,Manhattan,false,false,5,2,home,final,,https://wvusports.com/sports/mens-soccer/stats/2025/manhattan/boxscore/21051,,2025-08-21-Manhattan-West-Virginia
sidearm-2025-08-21-Denver-(rv)-Washington,2025-08-21,Denver,(rv) Washington,false,false,2,0,home,final,,https://denverpioneers.com/sports/mens-soccer/stats/2025/washington/boxscore/15567,,2025-08-21-(rv)-Washington-Denver
sidearm-2025-08-21-LMU-UNLV,2025-08-21,LMU,UNLV,false,false,1,2,home,final,,https://lmulions.com/sports/mens-soccer/stats/2025/unlv/boxscore/17237,,2025-08-21-LMU-UNLV
sidearm-2025-08-21-Pacific-Incarnate-Word,2025-08-21,Pacific,Incarnate Word,false,false,0,1,unknown,final,,https://pacifictigers.com/sports/mens-soccer/stats/2025/incarnate-word/boxscore/10154,,2025-08-21-Incarnate-Word-Pacific
sidearm-2025-08-21-San-Francisco-UC-Davis,2025-08-21,San Francisco,UC Davis,false,false,1,0,home,final,,https://usfdons.com/sports/mens-soccer/stats/2025/uc-davis/boxscore/8706,,2025-08-21-San-Francisco-UC-Davis
sidearm-2025-08-21-Santa-Clara-Cleveland-State,2025-08-21,Santa Clara,Cleveland State,false,false,1,1,home,final,,https://santaclarabroncos.com/sports/mens-soccer/stats/2025/cleveland-state/boxscore/9732,,2025-08-21-Cleveland-State-Santa-Clara
wmt-2025-08-21-Missouri-State-Seattle-U,2025-08-21,Missouri State,Seattle U,true,false,4,1,away,final,https://goseattleu.com/sports/mens-soccer/schedule,https://goseattleu.com/boxscore/2077,,2025-08-21-Missouri-State-Seattle-U
sidearm-2025-08-21-Oregon-State-UC-Santa-Barbara,2025-08-21,Oregon State,UC Santa Barbara,false,false,3,0,home,final,,https://osubeavers.com/sports/mens-soccer/stats/2025/uc-santa-barbara/boxscore/22357,,2025-08-21-Oregon-State-UC-Santa-Barbara
sidearm-2025-08-22-Villanova-Rider-University,2025-08-22,Villanova,Rider University,false,false,5,0,unknown,final,,https://villanova.com/sports/mens-soccer/stats/2025/rider-university/boxscore/16907,,2025-08-22-Rider-University-Villanova
sidearm-2025-08-22-Marshall-George-Mason,2025-08-22,Marshall,George Mason,false,false,2,1,home,final,,https://herdzone.com/sports/mens-soccer/stats/2025/george-mason/boxscore/11126,,2025-08-22-George-Mason-Marshall
sidearm-2025-08-22-Portland-Central-Arkansas,2025-08-22,Portland,Central Arkansas,false,false,3,0,unknown,final,,https://portlandpilots.com/sports/mens-soccer/stats/2025/central-arkansas/boxscore/12856,,2025-08-22-Central-Arkansas-Portland
